Symbol	Description
BX	Biox Corporation
BXE	Bellatrix Exploration Lt
BXE.DB	Bellatrix Exploration Ltd 6.75 Pct Debs
BXF	First Asset 1 To 5 Yr La
BXS.DB.C	Barclays Bank Fixed Rate Notes I 28
BYD.DB.A	Boyd Group Income Fund 5
BYD.UN	Boyd Group Income Fund
BYL	Baylin Technologies Inc
CAE	Cae Inc
CAGG	Wisdomtree Yld Enh CDN Agrt Bond Idx ETF
CAGS	Wisdomtree Yld Enh CDN ST Agg Bd Idx ETF
CAL	Caledonia Mining Corpora
CAN	Horizons Canadian Dollar Currency ETF
CAR.UN	CDN Apartment Un
CARA	Cara Operations Limited
CAS	Cascades Inc
CBD	Ishares Balanced Income
CBD.A	Ishares Balanced Income
CBH	Ishares 1-10 Yr Laddered
CBL	Callidus Capital Corp
CBN	Ishares Balanced Growth
CBO	Ishares 1-5Yr Laddered C
CBO.A	Ishares 1-5Yr Laddered C
CBQ	Ishares BRIC ETF
CBQ.A	Ishares BRIC ETF AC
CBT.UN	June 2020 Corporate Bond Trust
CCA	Cogeco Cable Inc. Sv
CCI.UN	Canadian Convertibles Pl
CCL.A	Ccl Inc. Cl A
CCL.B	Ccl Industries Inc. Cl.
CCM	Canarc Res J
CCO	Cameco Corp
CCS.PR.C	Co-Operators Gen Ins Cl
CCX	Canadian Crude Oil Index
CCZ	Criticalcontrol Solution
CDD.UN	Core Canadian Dividend T
CDH	Corridor Resources Inc.
CDV	Cardinal Resources Limited
CDZ	Ishares SP TSX CDN Divid
CDZ.A	Ishares SP TSX CDN Divid
CED	First Asset Core CDN Equ
CEE	Centamin Plc
CEF.A	Central Fund of Canada L
CERV	Cervus Equipment Corp.
CES	First Asset Core US Equi
CES.B	First Asset Core US Equi
CET	Cathedral Energy Service
CEU	Ces Energy Solutions Corp.
CEW	Ishares Equal Weight Ban
CEW.A	Ishares Equal Weight Ban
CF	Canaccord Genuity Group
CF.PR.A	Canaccord Genuity Group
CF.PR.C	Canaccord Genuity Group
CFF	Conifex Timber Inc
CFP	Canfor Corp
CFW	Calfrac Well Services Lt
CFX	Canfor Pulp Products Inc
CG	Centerra Gold Inc.
CGAC.UN	Canaccord Genuity Acq Corp Units
CGG	China Gold Int Resources
CGI	CDN General Inv
CGI.PR.D	Canadian General Inv Ltd
CGL	Ishares Gold Bullion ETF
CGL.C	Ishares Gold Bullion ETF
CGO	Cogeco Inc. Sv
CGR	Ishares Global Real Esta
CGR.A	Ishares Global Real Esta
CGT	Columbus Gold Corp
CGX	Cineplex Inc.
CGX.DB.A	Cineplex Inc 4.50 Pct De
CGY	Calian Group Limited
CHB	Ishares US HY Fixed Inco
CHB.A	Ishares US HY Fixed Inco
CHE.DB.B	Chemtrade Logistics If 5
CHE.DB.C	Chemtrade Logistics Income Fund 5.0 Debs
CHE.DB.D	Chemtrade Logistics Inc Fd 4.75 Pct Debs
CHE.UN	Chemtrade Logistics Inco
CHH	Centric Health Corporati
CHP.UN	Choice Properties REIT
CHR	Chorus Aviation Inc Cl B
CHW	Chesswood Group Limited
CHW.DB	Chesswood Group Limited
CIA	Champion Iron Limited
CIC	Canbanc Income Corp
CIF	Ishares Global Infrastru
CIF.A	Ishares Global Infrastru
CIGI	Colliers International Group Inc.
CIQ.UN	Canadian High Income Equ
CIU.PR.A	Cu Inc. Preferred Share
CIU.PR.C	Cu Inc Preferred Series
CIX	Ci Financial Corp.
CJ	Cardinal Energy Ltd
CJ.DB	Cardinal Energy Ltd 5.50 Pct Debs
CJR.B	Corus Entertainment Inc.
CJT	Cargojet Inc.
CJT.A	Cargojet Inc. Variable V
CJT.DB.C	Cargojet Inc 4.65 Pct Debs
CKE	Chinook Energy Inc.
CKI	Clarke Inc
CLF	Ishares 1-5 Yr Ladder Go
CLF.A	Ishares 1-5 Yr Ladder Go
CLG	Ishares 1-10 Yr Ladder G
CLG.A	Ishares 1-10Yr Ladder Go
CLR	Clearwater Seafoods Inco
CLS	Celestica Inc. Sv
CM	Canadian Imperial Bank O
CM.PR.O	Cibc Pref Ser 39
CM.PR.P	Cibc Pref Series 41
CM.PR.Q	Cibc Pref Series 43
CM.PR.R	Cibc Pref Series 45
CMED	Cannimed Therapeutics Inc
CMG	Computer Modelling Group
CMH	Carmanah Technologies Co
CMMC	Copper Mountain Mining Corp
CMR	Ishares Premium Money Ma
CMR.A	Ishares Premium Money Market ETF AC
CNE	Canacol Energy Ltd
CNL	Continental Gold Ltd
CNL.WT.A	Continental Gold Inc Wts
CNQ	CDN Natural Res
CNR	Canadian National Railway
CNU	Cnooc Limited
COM	Cardiome Pharma Corp
CONA	Cona Resources Ltd.
COP	Coro Mining Corp.
COW	Ishares Global Agri Inde
COW.A	Ishares Global Agri Inde
CP	Canadian Pacific Railway
CPD	Ishares SP TSX CDN Pref
CPD.A	Ishares SP TSX CDN Pref
CPF.UN	CDN 50 Adv Pref Sh Fd
CPG	Crescent Point Energy Co
CPH	Cipher Pharmaceuticals I
CPI	Condor Petroleum Inc
CPX	Capital Power Corporatio
CPX.PR.A	Capital Power Corporatio
CPX.PR.C	Capital Power Corp Pref
CPX.PR.E	Capital Power Corporatio
CPX.PR.G	Capital Power Corporation Pref Series 7
CPX.PR.I	Capital Power Corporation Pref Series 9
CQE	Cequence Energy Ltd.
CR	Crew Energy Inc
CRH	CRH Medical Corporation
CRP	Ceres Global Ag Corp.
CRR.DB.E	Crombie REIT 5.25 Pct De
CRR.UN	Crombie Real Estate Inve
CRT.UN	Ct Real Estate Investmen
CRWN	Crown Capital Partners Inc
CS	Capstone Mining Corp.
CSD	Ishares Adv Short Dur Hi
CSD.A	Ishares Adv Shrt Dur Hi
CSE.PR.A	Capstone Infrastructure
CSH.UN	Chartwell Retirement Res
CSM	Clearstream Energy Services Inc
CSU	Constellation Software I
CSU.DB	Constellation Software I
CSW.A	Corby Spirit and Wine Lt
CSW.B	Corby Spirit and Wine Lt
CSY	Can 60 Income Corp
CTC	Canadian Tire Corporatio
CTC.A	Canadian Tire Corporatio
CTF.UN	Citadel Income Fund
CTU	Le Chateau Inc Cl B
CTX	Crescita Therapeutics Inc
CU	Canadian Utilities Ltd.
CU.PR.C	Canadian Utilities Limit
CU.PR.D	Canadian Utilities Ltd P
CU.PR.E	Canadian Utilities Ltd P
CU.PR.F	Canadian Utilities Ltd P
CU.PR.G	Canadian Utilities Ltd P
CU.PR.H	Canadian Utilities Ltd P
CU.PR.I	Canadian Utilities Ltd Pref Ser Ff
CU.X	CDN Util Cl B
CUD	Ishares SP US Div Grower
CUD.A	Ishares SP US Div Grower
CUF.UN	Cominar R E Un
CUP.U	Caribbean Util US
CVD	Ishares Convertible Bond
CVD.A	Ishares Convertible Bond
CVE	Cenovus Energy Inc.
CVG	Clairvest Group
CWB	CDN Western Bank
CWB.PR.B	Canadian Western Bank Pr
CWB.PR.C	Canadian Western Bank Pref Series 7
CWF	CDN World Fund
CWI	Crosswinds Holdings Inc
CWL	Caldwell Partners Intern
CWW	Ishares SP Global Water
CWW.A	Ishares SP Global Water
CWX	Canwel Building Material
CXF	First Asset CDN Convert
CXI	Currency Exchange Intern
CXN	Chalice Gold Mines Limit
CXR	Concordia Healthcare Cor
CYB	Cymbria Corporation Cl A
CYH	Ishares Global Monthly D
CYH.A	Ishares Global Monthly D
CZN	CDN Zinc Corp J
D.UN	Dream Office REIT
DA.DB.A	Discovery Air Inc 8.375
DBO	Dbox Technologies Inc
DC.A	Dundee Corp. Cl.A Sv
DC.PR.B	Dundee Corp First Pref S
DC.PR.D	Dundee Corp Pref Series
DC.PR.E	Dundee Corp First Pref Shares Series 5
DC.WT	Dundee Corp Class A Wts
DCD.UN	First Asset Diversified
DCF	Difference Capital Finan
DCF.DB	Difference Cap Financial
DCG	Desjardins 1To5 Yr Lad CDN Govt Bd ETF
DCM	Data Communications Mgmt Corp
DCP	Desjardins CDN Pref Share Idx ETF
DCS	Desjardins CDN Short Term Bd Idx ETF
DCU	Desjardins CDN Universe Bond Index ETF
DDC	Dominion Diamond Corpora
DEE	Delphi Energy Corp.
DEE.NT	Delphi Energy Corp 10 Pct Notes
DEN	Dundee Energy Limited
DF	Dividend 15 Split Corp.
DF.PR.A	Dividend 15 Split Corp.
DFC	Desjardins Cda Multifactor Ctrl Vol ETF
DFD	Desjardins Dev Xus Xcda Mltifact Vol
DFN	Dividend 15 Split Corp
DFN.PR.A	Dividend 15 Split Corp.
DFU	Desjardins USA Multifactor Ctrl Vol ETF
DGC	Detour Gold Corporation
DGR	Wisdomtree US Qlty Div Gwth Idx ETF
DGR.B	Wisdomtree US Qlty Div Gwth Idx ETF Nh
DGS	Dividend Growth Split Co
DGS.PR.A	Dividend Growth Split Co
DHX.A	Dhx Media Ltd Class A
DHX.B	Dhx Media Ltd Class B
DII.A	Dorel Industries Inc. C
DII.B	Dorel Industries Inc. C
DII.DB.U	Dorel Industries Inc 5.5
DIN.DB	Dir Industrial Propertie
DIR.DB	Dream Industrial REIT 5.
DIR.UN	Dream Industrial REIT
DISC	BMO Glb Consumer Disc Hgd To CAD ETF
DIV	Diversified Royalty Corp
DLR	Horizons US Dollar Curre
DLR.U	Horizons US Dollar Curre
DML	Denison Mines Corp.
DNA	Dalradian Resources Inc.
DNA.WT.A	Dalradian Resources Inc
DNG	Dynacor Gold Mines Inc
DNT	Candente Copper Corp
DOL	Dollarama Inc
DOO	Brp Inc
DPM	Dundee Precious Metals I
DQD	Wisdomtree US Qlty Div Gwth Dyn Hgd ETF
DQI	Wisdomtree Intl Qlty Div Gwth Dyn Hgd
DR	Medical Facilities Corp
DR.DB.A	Medical Facilities Corp
DRA.UN	Dream Hard Asset Alterna
DRG.UN	Dream Global REIT
DRM	Dream Unlimited Corp
DRM.PR.A	Dream Unlimited Corp Pre
DRT	Dirtt Environmental Solu
DRX	Adf Group Inc. Sv
DS	Dividend Select 15 Corp.
DSG	Descartes Sys
DSL.UN	Doubleline Income Soluti
DW	Datawind Inc
DXC	Dyn Ishares Active CDN Div ETF
DXG	Dyn Ishares Active Global Div ETF
DXI	Dxi Energy Inc
DXM	F A Morningstar Cda Div
DXO	Dyn Ishares Act Crossover Bond ETF
DXP	Dyn Ishares Active Pref Shares ETF
DXU	Dyn Ishares Active US Div ETF
E	Enterprise Group Inc
EBC.UN	Europe Blue Chip Div and
ECA	Encana Corp.
ECF.UN	East Coast Invest Grade
ECI	Enercare Inc.
ECN	Ecn Capital Corp
ECN.PR.A	Ecn Capital Corp Pref Series A
ECN.PR.C	Ecn Capital Corp Pref Series C
ECO	Ecosynthetix Inc
ECS	Ecobalt Solutions Inc
EDGF.UN	European Dividend Growth Fund
EDR	Endeavour Silver Corp.
EDT	Spectral Medical Inc
EDV	Endeavour Mining Corp
EFH	Echelon Financial Holdin
EFL	Electrovaya Inc.
EFN	Element Financial Corp
EFN.DB	Element Financial Corp 5
EFN.DB.A	Element Financial Corp 4
EFN.PR.A	Element Financial Corp P
EFN.PR.C	Element Financial Corp P
EFN.PR.E	Element Financial Corp P
EFN.PR.G	Element Financial Corp P
EFN.PR.I	Element Fleet Mgmt Corp Pref Series I
EFR	Energy Fuels Inc.
EFR.DB	Energy Fuels Inc Debs
EFR.WT	Energy Fuels Inc Wts
EFX	Enerflex Ltd
EGL	Eagle Energy Inc.
EHE	Wisdomtree Europe Hedged Eqty Idx ETF
EHE.B	Wisdomtree Europe Hedged Eqty Idx ETF Nh
EIF	Exchange Income Corporat
EIF.DB.E	Exchange Income Corp 5.5
EIF.DB.F	Exchange Income Corp 5.3
EIF.DB.G	Exchange Income Corp 6.0
EIF.DB.H	Exchange Income Corp 5.25 Pct Debs
EIT.PR.A	Canoe Eit Income Fund Pref Ser 1
EIT.UN	Canoe Eit Income Fund Un
ELD	Eldorado Gold
ELF	E-L Financial
ELF.PR.F	E-L Financial Corp. Ltd.
ELF.PR.G	E- L Financial Corp. Lim
ELF.PR.H	E - L Financial Corp Ltd
ELR	Eastern Platinum Limited
ELV	Powershares SP Emg Mkts
EMA	Emera Incorporated
EMA.PR.A	Emera Inc Series A Pref
EMA.PR.B	Emera Inc Pref Sh Series
EMA.PR.C	Emera Inc Pref Sh Series
