Symbol	Description
PPR	Prairie Provident Resources Inc
PPR.WT	Prairie Provident Resources Inc Wts
PPS	Powershares CDN Pref Sha
PR	Lysander Slater Pref Sha
PRA	Purpose Diversified Real
PRF.UN	Pinebridge Inv Grade Pre
PRK	Potash Ridge Corporation
PRP	Purpose Conservative Income Fund ETF
PRQ	Petrus Resources Ltd
PRU	Perseus Mining Limited
PRW	Petrowest Corporation
PSA	Purpose High Interest Sa
PSB	Pwrshrs 1 To 5 Yr  Ladde
PSD	Pulse Seismic Inc.
PSI	Pason Systems Inc.
PSK	Prairiesky Royalty Ltd
PSLV.U	Sprott Physical Silver Trust USD
PSU.U	Purpose US Cash ETF
PSY	Pwrshr Glb Sharehldr Yie
PTB	Powershares Tactical Bon
PTG	Pivot Technology Solutio
PTM	Platinum Group Metals Lt
PTS	Points International Ltd
PUB.UN	US Banks Income and Growth Fund
PUD	Purpose US Dividend Fund
PUD.B	Purpose US Dividend Fund
PUR	Pure Technologies Ltd
PVG	Pretium Resources Inc.
PVS.PR.B	Partners Value Split Cor
PVS.PR.C	Partners Value Split Cor
PVS.PR.D	Partners Value Split Cor
PVS.PR.E	Partners Value Split Corp Pref Ser 7
PWF	Power Financial Corp.
PWF.PR.A	Power Fin Ser A Pr
PWF.PR.E	Power Fin Ser D Pr
PWF.PR.F	Power Financial Corp. Pr
PWF.PR.G	Power Financial Corp 5.9
PWF.PR.H	Power Financial Corp 5.7
PWF.PR.I	Power Financial Corp 6%
PWF.PR.K	Power Fin Corp 4.95% Ser
PWF.PR.L	Power Financial Corp Ser
PWF.PR.O	Power Financial Corp 5.8
PWF.PR.P	Pwr Fnl Corp 4.40 Non Cu
PWF.PR.Q	Power Fin Corp 4.40 Pct Pref Ser Q
PWF.PR.R	Power Financial Corp 5.5
PWF.PR.S	Power Financial Corp Pre
PWF.PR.T	Power Financial Corp 4.2
PWF.PR.Z	Power Financial Corp 5.15 Pct Pref Ser V
PXC	Powershr FTSE RAFI CAD I
PXG	Pwrshr FTSE RAFI Global
PXS	Pwrshr FTSE RAFI US Fdam
PXS.U	Pwrshr FTSE RAFI US Fdamntl ETF USD
PXT	Parex Resources Inc
PXU.F	Powershares FTSE RAFI US Fund Idx ETF
PXX	Blackpearl Resources Inc
PYF	Purpose Premium Yield Fund ETF
PZA	Pizza Pizza Royalty Corp
PZC	Pwrshr FTSE RAFI CDN Sml
PZW	Pwrshr FTSE RAFI Glb Sml
QBR.A	Quebecor Inc. Cl.A Mv
QBR.B	Quebecor Inc. Cl.B Sv
QCD	Quantshrs Enh Core CDN Equity ETF
QCP	Questrade Fixed Inc Core Plus ETF
QEC	Questerre Energy Corp
QEM	Quantshrs Enh Core Emg Mkt Eqt ETF
QGE	Questrade Global Total Equity ETF
QGL	Quantshrs Global Equity Rotation ETF
QIE	Quantshrs Enh Core Intl Equity ETF
QMA	Quantshrs Multiasset Allocation ETF
QMG	Questrade Rus US Mc Grwt
QMV	Questrade Rus US Mc Val
QMY	Quantshrs Multiasset Inc Allocation ETF
QQC.F	Powershares QQQ Index ETF
QRD	Questrade Rus 1000 EW US
QRH	Questrade Rus 1000 Eq US
QRI	Questrade Rus 1000 EW US
QRT	Questrade Rus 1000 EW US
QSP.UN	Restaurant Brands Intl L
QSR	Restaurant Brands Intern
QTRH	Quarterhill Inc.
QUS	Quantshrs Enh Core US Equity ETF
QXM	F A Morningstar Nb Quebe
R	Red Eagle Mining Corp
R.RT	Red Eagle Mining Corp Rights
RAI.UN	Real Asset Income and Gr
RAY.A	Stingray Digital Group I
RAY.B	Stingray Digital Group I
RBA	Ritchie Bros Auctioneers
RBN.UN	Blue Ribbon Income Fund
RBO	RBC 1 To 5 Yr Laddered C
RBP.UN	June 2021 Investment Grade Bond Pool
RCD	RBC Quant CDN Dividend L
RCE	RBC Quant Canadian Equit
RCH	Richelieu Hardware
RCI.A	Rogers Communications In
RCI.B	Rogers Communications In
RCO.UN	Middlefield Can Global R
RDK	Redhawk Resources Inc
RDL	Redline Communications G
REAL	Real Matters Inc
REF.UN	CDN Real Estate Un
REI.UN	Riocan Real Est Un
RET	Reitmans Canada
RET.A	Reitmans (Canada) Ltd.
RFP	Resolute Forest Products
RGRE	RBC Qnt Glbl Real Estate Ldrs
RGX	Argex Titanium Inc
RIB.UN	Ridgewood CAD Invest Gra
RIC	Richmont Mines
RID	RBC Quant EAFE Div Leade
RID.U	RBC Quant EAFE Div Leade
RIDH	RBC Quant EAFE Div Leaders ETF
RIE	RBC Quant EAFE Equity Le
RIEH	RBC Quant EAFE Equity Leaders CAD Heg
RIG	RBC Quant Global Infras Leaders ETF
RIG.U	RBC Quant Global Infras Leaders ETF USD
RIGP.UN	Canadian Investment Grade Pref Fund
RIT	First Asset Canadian REIT ETF
RKN	Redknee Solutions Inc.
RKN.RT	Redknee Solutions Inc RTS
RLB	RBC 1-5 Year Laddered Canadian
RLD	RBC Strategic Global Div Leaders ETF
RLE	RBC Stategic Global Equity Leaders ETF
RME	Rocky Mountain Dealershi
RMP	Rmp Energy Inc
RMX	Rubicon Minerals Corp.
RN	Rio Novo Gold Inc
RNW	Transalta Renewables Inc
RNX	Royal Nickel Corporation
ROXG	Roxgold Inc
RPD	RBC Quant European Div L
RPD.U	RBC Quant European Div L
RPDH	RBC Quant European Div Leaders ETF
RPF	RBC Canadian Preferred Share ETF
RPI.UN	Richards Packaging Incom
RQE	RBC Target 2017 Corp Bon
RQF	RBC Target 2018 Corp Bon
RQG	RBC Target 2019 Corp Bon
RQH	RBC Target 2020 Corp Bon
RQI	RBC Target 2021 Corp Bon
RQJ	RBC Target 2022 Corp Bond Idx ETF
RQK	RBC Target 2023 Corp Bond Idx ETF
RRX	Raging River Exploration
RSI	Rogers Sugar Inc
RSI.DB.D	Rogers Sugar 5.75 Pct Co
RSI.DB.E	Rogers Sugar Inc 5Pct Debs
RSI.R	Rogers Sugar Inc Sub Reciepts
RTG	Rtg Mining Inc
RTU.UN	CDN Resources Un
RUD	RBC Quant US Div Leaders
RUD.U	RBC Quant US Div Leaders
RUDH	RBC Quant US Div Leaders ETF
RUE	RBC Quant US Equity Lead
RUE.U	RBC Quant US Equity Lead
RUEH	RBC Quant US Equity Leaders CAD Heg ETF
RUS	Russel Metals
RVX	Resverlogix Corp.
RVX.WT	Resverlogix Corp Wts
RWC	First Asset MSCI Canada
RWE	First Asset MSCI Europe
RWE.B	First Asset MSCI Europe
RWU	First Asset MSCI USA Lr
RWU.B	First Asset MSCI USA Lr
RWW	First Asset MSCI World L
RWW.B	First Asset MSCI Wld Lr
RXD	RBC Quant Emerging Mkts
RXD.U	RBC Quant Emerging Mkts
RXE	RBC Quant Emerg Mkts Equity Leaders ETF
RXE.U	RBC Quant Emerg Mkts Eqt Leaders ETF USD
RY	Royal Bank of Canada
RY.PR.A	Royal Bank of Canada Pr
RY.PR.B	RBC Non-Cum First Prefer
RY.PR.C	Royal Bank of Can. First
RY.PR.D	RBC First Pref Shares Se
RY.PR.E	RBC Non-Cum First Pr Shs
RY.PR.F	RBC Non-Cum First Pref S
RY.PR.G	RBC Non-Cum First Pr Ser
RY.PR.H	Royal Bank of Canada Prf
RY.PR.I	Royal Bank  Pref Series
RY.PR.J	Royal Bank Pref Series B
RY.PR.K	Royal Bank Pref Series A
RY.PR.L	RBC Non Com 5-Year Srs A
RY.PR.M	Royal Bank Pref Series B
RY.PR.N	Royal Bank Pref Series B
RY.PR.O	RBC Pref Shares Series B
RY.PR.P	RBC Pref Shares Series Bj
RY.PR.Q	RBC Pref Shares Series Bk
RY.PR.R	RBC Pref Shares Series Bm
RY.PR.W	RBC 4.90% Ser. W
RY.PR.Z	RBC First Pref Sh Series
S	Sherritt Intl Rv
SAM	Starcore International M
SAP	Saputo Inc.
SAU	ST Augustine Gold and Co
SBB	Sabina Gold and Silver C
SBC	Brompton Split Banc Corp
SBC.PR.A	Brompton Split Banc Corp
SBN	S Split Corp. Cl.A
SBN.PR.A	S Split Corp. Pref A
SBND	Purpose Sh Dur Tactical Bd Fd ETF
SBR	Silver Bear Resources In
SBT.B	Silver Bullion Trust CAD ETF Non Cur
SBT.U	Silver Bullion Trust USD ETF Non Cur
SCB	Street Capital Group Inc
SCL	Shawcor Ltd
SCU	The Second Cup Ltd.
SCW.UN	Canso Select Opportuniti
SCY	Scandium International M
SDY	Strad Energy Services Lt
SEA	Seabridge Gold Inc.
SEC	Senvest Capital
SEN	Serinus Energy Inc
SES	Secure Energy Services I
SEV	Spectra7 Microsystems In
SFD	Nxt Energy Solutions Inc
SGF	Shore Gold Inc.
SGQ	Southgobi Resources Ltd
SGY	Surge Energy Inc
SHA	Sphere FTSE Asia Sustainable Yld ETF
SHC	Sphere FTSE Cda Sustainable Yld ETF
SHE	Sphere FTSE Euro Sustainable Yld ETF
SHLE	Source Energy Services Ltd
SHOP	Shopify Inc
SHU	Sphere FTSE US Sustainable Yld ETF
SHZ	Sphere FTSE Emerg Mkts Yld Idx ETF
SIA	Sienna Senior Living Inc
SIA.DB	Sienna Senior Living Inc
SID	First Asset US Trendleaders Idx ETF
SII	Sprott Inc.
SIN.UN	Sciti Trust
SIS	Savaria Corp.
SJ	Stella Jones Inc
SJR.B	Shaw Communications Inc.
SJR.PR.A	Shaw Communications Inc
SJR.PR.B	Shaw Communications Series B
SKG.UN	Skylon Growth & Income F
SLF	Sun Life Financial Inc.
SLF.PR.A	Sun Life Financial Inc P
SLF.PR.B	Sun Life Financial Inc.
SLF.PR.C	Sunlife Financial Inc. C
SLF.PR.D	Sun Life Financial Inc.
SLF.PR.E	Sun Life Financial Inc.
SLF.PR.G	Sun Life Financial Inc.
SLF.PR.H	Sun Life Financial Inc P
SLF.PR.I	Sun Life Financial Inc P
SLF.PR.J	Sun Life Financial Inc P
SLF.PR.K	Sun Life Financial Inc Pref Ser 11Qr
SLR	Solitario Zinc Corp.
SMC	Sulliden Mining Capital
SMF	SEMAFO J
SMT	Sierra Metals Inc
SMU.UN	Summit Industrial Income
SNC	Snc-Lavalin Sv
SOLG	Solgold Plc
SOT.UN	Slate Office REIT
SOX	Stuart Olson Inc
SOX.DB.A	Stuart Olson Inc 6 Pct D
SOY	Sunopta Inc.
SPB	Superior Plus Corp.
SPB.DB.H	Superior Plus Corp 6.0 P
SPE	Spartan Energy Corp
SPPP.U	Sprott Physical Platinum Palladium USD
SQP	Strongco Corporation
SRHI	Sprott Resource Holdings Inc
SRHI.WT	Sprott Resource Holdings Inc Wts
SRT.U	Slate Retail REIT USD
SRT.UN	Slate Retail REIT
SRU.UN	Smart Real Estate Investment Trust
SRV.UN	Sir Royalty Income Fund
SSF.UN	Symphony Floating Rate S
SSL	Sandstorm Gold Ltd
SSL.WT	Sandstorm Gold Ltd Wts
SSL.WT.B	Sandstorm Gold Ltd Warra
SSO	Silver Standard Res Inc.
SSRM	Ssr Mining Inc.
STB	Student Transportation I
STB.DB.A	Student Transportation Inc 5.25 Pct Debs
STB.DB.C	Student Transportation I
STEP	Step Energy Services Ltd
STN	Stantec Inc
STPL	BMO Glb Consumer Staples Hgd To CAD ETF
SU	Suncor Energy Inc.
SUM	Solium Capital Inc.
SVB	Silver Bull Resources In
SVC	Sandvine Corporation
SVM	Silvercorp Metals Inc.
SVR	Ishares Silver Bullion E
SVR.C	Ishares Silver Bullion E
SW	Sierra Wireless
SWY	Stornoway Diamond Corp.
SWY.DB.U	Stornoway Diamond Corp 6
SXI	Synex Intl J
SXP	Supremex Inc.
T	Telus Corporation
TA	Transalta Corporation
TA.PR.D	Transalta Corp Prfd Seri
TA.PR.E	Transalta Corp Pref Series B
TA.PR.F	Transalta Corp Pref Seri
TA.PR.H	Transalta Corp Pref Sh S
TA.PR.J	Transalta Corp Pref Seri
TAO	Tag Oil Ltd
TAO.WT	Tag Oil Ltd Wts
TBL	Taiga Building Products
TBL.NT	Taiga Building Products
TC	Tucows Inc.
TCL.A	Transcontinental Inc. C
TCL.B	Transcontinental Inc. C
TCN	Tricon Capital Group Inc
TCN.DB.A	Tricon Capital Group Inc
TCN.DB.U	Tricon Capital Group 5.75 Pct Debs USD
TCS	Tecsys Inc J
TCT.UN	Top 10 Canadian Financia
TCW	Trican Well
TD	Toronto-Dominion Bank
TD.PF.A	TD Bank Pref Series 1
TD.PF.B	TD Bank Pref Series 3
TD.PF.C	TD Bank Pref Series 5
TD.PF.D	TD Bank Pref Series 7
TD.PF.E	TD Bank Pref Series 9
TD.PF.F	TD Bank Pref Series 11
TD.PF.G	TD Bank Pref Series 12
TD.PF.H	TD Bank Pref Series 14
TD.PF.I	TD Bank Pref Series 16
TD.PR.S	TD Bank Ser S Pr
TD.PR.T	TD Bank Pref Series T
TD.PR.Y	TD Bank Ser Y Pr
TD.PR.Z	TD Bank Pref Series Z
TDB	TD CDN Aggregate Bond Index ETF
TDG	Trinidad Drilling Ltd.
TECK.A	Teck Resources Limited Cl A
TECK.B	Teck Resources Limited Cl B
TEI	Toscana Energy Income Co
TEI.DB	Toscana Energy Income Co
TEL	Tellza Communications In
TET	Trilogy Energy Corp.
TF	Timbercreek Financial Corp
TF.DB	Timbercreek Financial Corp 6.35 Pct Debs
TF.DB.A	Timbercreek Financial Corp 5.40 Pct Debs
TF.DB.B	Timbercreek Financial Corp 5.45 Pct Debs
TF.DB.C	Timbercreek Financial Corp 5.30 Pct Debs
TFII	Tfi International Inc
TGF.UN	Timbercreek Global Real
TGL	Transglobe Energy Corp
TGO	Terago Inc.
TGZ	Teranga Gold Corporation
TH	Theratechnologies
TH.WT	Theratechnologies Inc WT
The	TD Intl Equity CAD Hedge Index ETF
THO	Tahoe Resources Inc
THU	TD SP 500 CAD Hedge Index ETF
TIH	Toromont Ind
TKO	Taseko Mines Ltd.
TLB	Tearlab Corporation
TLF.UN	Tech Leaders Income Fund
TLO	Talon Metals Corp.
TLV	Powershares SP TSX Low V
TMB	Tembec Inc.
TMD	Titan Medical Inc
TMD.WT.C	Titan Medical Inc Wts Cl
TMD.WT.F	Titan Medical Inc Wts Cl F
TMD.WT.I	Titan Medical Inc Wts Cl I
TMI	Trimetals Mining Inc
TMI.B	Trimetals Mining Inc Cla
TML	Treasury Metals Inc.
TMQ	Trilogy Metals Inc
TMR	Tmac Resources Inc
TNP	Transatlantic Petroleum
TNT.UN	True North Commercial Re
TNX	Tanzanian Royalty Explor
TOF.UN	Taylor North American Eq
TOG	Torc Oil and Gas Ltd
TOS	Tso3 Inc
TOT	Total Energy Services In
TOU	Tourmaline Oil Corp
TOY	Spin Master Corp
TPE	TD International Equity Index ETF
TPH	Temple Hotels Inc
TPH.DB.E	Temple Hotels Inc 7.25 P
TPH.DB.F	Temple Hotels Inc 7.0 PC
TPK	Ten Peaks Coffee Company
TPL	Tethys Petroleum Limited
TPU	TD SP 500 Index ETF
TPX.A	Molson Coors Canada Inc.
TPX.B	Molson Coors Canada Inc.
TRI	Thomson Reuters Corporat
TRI.PR.B	Thomson Reuters Corporat
TRIL	Trillium Therapeutics In
TRL	Trilogy International Partners Inc
TRL.WT	Trilogy International Partners Inc Wts
TRP	Transcanada Corp.
TRP.PR.A	Transcanada Corp Pref Se
TRP.PR.B	Transcanada Corp Pref Se
TRP.PR.C	Transcanada Cumul Redeem
TRP.PR.D	Transcanada Corp Pref Se
TRP.PR.E	Transcanada Corp Pref Se
TRP.PR.F	Transcanada Corp Pref Se
TRP.PR.G	Transcanada Corp Pref Se
TRP.PR.H	Transcanada Corp Pref Se
TRP.PR.I	Transcanada Corp Pref Series 6
TRP.PR.J	Transcanada Corp Pref Series 13
TRP.PR.K	Transcanada Corp Pref Series 15
TRQ	Turquoise Hill Resources
TRZ	Transat At Inc
TS.B	Torstar Corp. Cl. B Nv
TSGI	The Stars Group Inc
TSL	Tree Island Steel Ltd
TSU	Trisura Group Ltd
TTE.UN	Top 20 Europe Dividend T
TTP	TD SP TSX Capped Comp Index ETF
TUT.UN	Top 20 US Dividend Trust
TV	Trevali Mining Corporati
TVA.B	Tva Group Inc. Cl.B Nv
TVE	Tamarack Valley Energy L
TVK	Terravest Capital Inc
TVK.DB	Terravest Capital Inc 7.
TWC	Twc Enterprises Limited
TXF	First Asset Tech Giants
TXG	Torex Gold Resources Inc
TXP	Touchstone Exploration I
TXT.PR.A	Top 10 Split Trust Prf.
TXT.UN	Top 10 Split Trust
TZS	Trez Capital Senior Mort
TZZ	Trez Capital Mortgage In
U	Uranium Participation Co
UCD.UN	Fa Morningstar US Consum
UDA.UN	Caldwell US Dividend Adv
UEX	Uex Corp
UFS	Domtar Corporation
ULV.C	Powershares Sp500 Low Volatility ETF
ULV.F	Powershares Sp500 Low Volatility ETF
ULV.U	Powershares Sp500 Low Volatility ETF USD
UNC	United Corp Ltd
UNC.PR.A	United Corp Pr A
UNG.PR.C	Union Gas 5-1/2% Pr
UNG.PR.D	Union Gas 6% B Pr
UNS	Uni Select Inc
UR	Urthecast Corp
URB	Urbana Corporation
URB.A	Urbana Corporation Cl A
URE	Ur-Energy Inc.
USA	Americas Silver Corporation
USB	Powershares Lad US 0 To
USB.U	Powershares Lad US 0 To
USF.UN	US Financials Income Fun
USH.UN	US Housing Recovery Fund
UTC.C	Utility Corp Cl C
UTE.UN	Canadian Utilities Telec
UWE	U3O8 Corp
UXM	F A Morningstar US Div T
UXM.B	Fa Morningstar US Div Tg
VA	Vanguard FTSE Dev Asia P
VAB	Vanguard CDN Aggregate B
VAH	Vanguard FTSE Dev Asia Pac ETF CAD Hdg
VB	Versabank
VB.PR.A	Versabank Pref Series 1
VB.PR.B	Versabank Pref Series 3
VBG	Vanguard Global Ex US Ag
VBU	Vanguard US Agg Bond Ind
VBV	Vbi Vaccines Inc
VCB	Vanguard CDN Corporate Bond Index ETF
VCE	Vanguard FTSE Canada Ind
VCM	Vecima Networks Inc.
VCN	Vanguard FTSE Canada All
VDU	Vanguard FTSE Developed
VDY	Vanguard FTSE CDN High D
VE	Vanguard FTSE Dev Europe
VEE	Vanguard FTSE Emerging M
VEF	Vanguard FTSE Dev Ex Na
VEH	Vanguard FTSE Dev Europe ETF CAD Hdg
VET	Vermilion Energy Inc
VFF	Village Farms Internatio
VFV	Vanguard SP 500 Index Et
VGG	Vanguard US Div Appr Idx
VGH	Vanguard US Div Appr Idx
VGV	Vanguard CDN Government Bond Index ETF
VGZ	Vista Gold Corp
VI	Vanguard FTSE Dev All Cap Na Idx
VII	Seven Generations Energy
VIP.UN	Aston Hill Vip Income Fu
VIU	Vanguard FTSE Dev All Cap Na Idx
VLB	Vanguard CDN Long Term Bond Index ETF
VLE	Valeura Energy Inc
VLN	Velan Inc. Sv
VLQ	Vanguard Global Liquidity Factor ETF
VMO	Vanguard Glob Momentum Factor ETF
VNP	5N Plus Inc.
VNP.DB	5N Plus Inc 5.75 Pct Deb
VNR	Valener Inc
VNR.PR.A	Valener Inc Pref Series
VRE	Vanguard FTSE CDN Capped
VRX	Valeant Pharmaceuticals
VSB	Vanguard CDN Short-Term
VSC	Vanguard CDN Short Term
VSG	Vanguard CDN Sh Term Govt Bd Index ETF
VSN	Veresen Inc.
VSN.PR.A	Veresen Inc Pref Sh Seri
VSN.PR.C	Veresen Inc Pref Sh Seri
VSN.PR.E	Veresen Inc Pref Sh Seri
VSP	Vanguard SP 500 Index Et
VUN	Vanguard US Total Market
VUS	Vanguard US Total Mkt Id
VVL	Vanguard Glob Val Factor ETF
VVO	Vanguard Global Min Vol ETF
VXC	Vanguard FTSE All World
VXM	F A Morningstar Intl Val
VXM.B	F A Morningstar Intl Val
VXS	Vixs Systems Inc
W.PR.H	Westcoast 7 Pr
W.PR.J	Westcoast 8 Pr
W.PR.K	Westcoast Energy Inc Pref Series 10
W.PR.M	Westcoast Energy Inc Pref Series 12
WCM.A	Wilmington Capital Mgmt
WCN	Waste Connections Inc.
WCP	Whitecap Resources Inc
WDO	Wesdome Gold Mines Ltd.
WEED	Canopy Growth Corporation
WEF	Western Forest Products
WEQ	Westernone Inc
WEQ.DB	Westernone Inc 6.25 Pct
WFC	Wall Financial
WFS	World Financial Split Co
WFS.PR.A	World Financial Split Co
WFT	West Fraser Timber Co Lt
WG	Wellgreen Platinum Ltd
WIR.U	Wpt Industrial REIT USD
WJA	Westjet Airlines Ltd.
WJX	Wajax Corporation
WM	Wallbridge Mng J
WN	Weston George
WN.PR.A	George Weston Limited Pr
WN.PR.C	George Weston Ltd. 5.20%
WN.PR.D	George Weston Ltd. 5.2%
WN.PR.E	George Weston Ltd. 4.75
WPK	Winpak Ltd
WPM	Wheaton Precious Metals
WPRT	Westport Innovations Inc
WRG	Western Energy Services
WRN	Western Copper and Gold
WRX	Western Resources Corp
WSP	WSP Global Inc
WTE	Westshore Terminals Inve
WXM	F A Morningstar Cda Mome
X	Tmx Group Limited
XAL	Ishares Alternatives Com
XAU	Goldmoney Inc
XAW	Ishares Core MSCI All Cn
XBB	Ishares Canadian Univers
XBM	Ishares SP TSX Global BA
XBZ	Ishares MSCI Brazil Inde
XCB	Ishares Canadian Corpora
XCD	Ishares SP Global Cons D
XCG	Ishares Canadian Growth
XCH	Ishares China Index ETF
XCR	Ishares Conservative Cor
XCS	Ishares SP TSX Smallcap
XCT	Exactearth Ltd
XCV	Ishares Canadian Value I
XDC	Xtreme Drilling and Coil
XDG	Ishares Core MSCI Glo Qlty Div Idx ETF
XDGH	Ishares Core MSCI Glo Qlty Div Idx ETF
XDIV	Ishares Core MSCI CAD Qlty Div Idx ETF
XDU	Ishares Core MSCI US Qlty Div Idx ETF
XDUH	Ishares Core MSCI US Qlty Div Idx ETF
XDV	Ishares Canadian Select
XEB	Ishares JP Morgan USD EM
XEC	Ishares Core MSCI Emergi
XEF	Ishares Core MSCI EAFE I
XEG	Ishares SP TSX Capped En
XEH	Ishares MSCI Europe IMI
XEI	Ishares Core SP TSX Comp
XEM	Ishares MSCI Emerging Ma
XEN	Ishares Jantzi Social In
XEU	Ishares MSCI Europe IMI
XFA	Ishares Factorselect MSCI USA Idx CAD
XFC	Ishares Factorselect MSCI C
XFF	Ishares Factorselect MSCI EAFE
XFH	Ishares Core MSCI EAFE I
XFI	Ishares Factorselect MSCI EAFE Idx ETF
XFN	Ishares SP TSX Capped FI
XFR	Ishares Floating Rate In
XFS	Ishares Factorselect MSCI USA Idx ETF
XGB	Ishares Canadian Govt Bo
XGC	Ishares Global Comp. Por
XGD	Ishares S&P/Tsx Global G
XGI	Ishares SP Global Indust
XGR	Ishares Growth Core Port
XHB	Ishares CDN Hybrid Corp
XHC	Ishares Global Healthcar
XHD	Ishares US High Div Equi
XHU	Ishares US High Div Equi
XHY	Ishares US High Yield Bo
XIC	Ishares Core SP TSX Capp
XID	Ishares India Index ETF
XIG	Ishares US Ig Corporate
XIN	Ishares MSCI EAFE Index
XIT	Ishares SP TSX Capped In
XIU	Ishares SP TSX 60 Index
XLB	Ishares Core CDN Long Te
XMA	Ishares SP TSX Capped Ma
XMC	Ishares SP US Midcap Ind
XMD	Ishares SP TSX Completio
XMF.A	M Split Corp Capital Sha
XMF.PR.B	M Split Corp. Class I Pr
XMF.PR.C	M Split Corp. Class II P
XMH	Ishares SP US Midcap Ind
XMI	Ishares MSCI EAFE Min Vo
XML	Ishares Edge MSCI Mv EAFE ETF CAD Hgd
XMM	Ishares MSCI Emerg Mkts
XMS	Ishares Edge MSCI Mv USA ETF CAD Hgd
XMU	Ishares MSCI USA Min Vol
XMV	Ishares MSCI Canada Min
XMW	Ishares MSCI All Country
XMY	Ishares Edge MSCI Mv Glbl ETF CAD Hgd
XPF	Ishares SP TSX Na Pref S
XQB	Ishares Core Hi Quality
XQB.A	Ishares Core Hi Quality
XQQ	Ishares Nasdaq 100 Index
XRB	Ishares CDN Real Return
XRC	Exeter Resource Corporat
XRE	Ishares SP TSX Capped Re
XSB	Ishares Canadian Short T
XSC	Ishares Conv Shr Trm Stra Fxd
XSE	Ishares Cons Strat Fix I
XSH	Ishares Core CDN ST Corp
XSI	Ishares Short Term Strat
XSP	Ishares Core SP 500 Idx
XSQ	Ishares Core ST Hi Quali
XST	Ishares SP TSX Capped Co
XSU	Ishares US Small Cap Ind
XTC	Exco Tech
XTD	Tdb Split Corp. Class A
XTD.PR.A	Tdb Split Corp. Priorit
XTG	Xtra Gold Resources Corp
XTR	Ishares Diversified Mont
XUH	Ishares Core SP US Total
XUS	Ishares Core SP 500 Inde
XUT	Ishares SP TSX Capped Ut
XUU	Ishares Core SP US Total
XWD	Ishares MSCI World Index
XXM	Fa Morningstar US Value
XXM.B	Fa Morningstr US Value I
XYM.UN	Star Yield Managers Trust
Y	Yellow Pages Limited
Y.WT	Yellow Pages Limited Wts
YCM	Commerce Split Corp Capi
YCM.PR.A	Commerce Split Corp Clas
YCM.PR.B	Commerce Split Corp Clas
YGR	Yangarra Resources Ltd
YPG.DB	Yp Digital and Media Sol
YRB	Yorbeau Resources Inc
YRI	Yamana Gold Inc
YXM	Fa Morningstar US Moment
YXM.B	Fa Morningstar US Moment
ZAG	BMO Aggregate Bond Index
ZAR	Zargon Oil and Gas Ltd.
ZAR.DB.A	Zargon Oil and Gas Ltd 8.00 Pct Debs
ZBK	BMO Equal Weight US Bank
ZCH	BMO China Equity Index E
ZCL	Zcl Composites
ZCM	BMO Mid Corporate Bond I
ZCN	BMO SP TSX Capped Comp I
ZCS	BMO Short Corp Bond Inde
ZCS.L	BMO Short Corporate Bond Index ETF
ZDB	BMO Discount Bond Idx Et
ZDH	BMO Intl Div CAD Hedge E
ZDI	BMO International Divide
ZDJ	BMO DJIA Hedged To CAD I
ZDM	BMO MSCI EAFE Hedged To
ZDV	BMO Canadian Dividend Et
ZDY	BMO US Dividend ETF CAD
ZDY.U	BMO US Dividend ETF USD
ZEA	BMO MSCI EAFE Idx ETF
ZEB	BMO SP TSX Equal Weight
ZEF	BMO Emg Mkt Bond Hdgd To
ZEM	BMO MSCI Emerging Market
ZEO	BMO SP TSX Eql Weight Oi
ZEQ	BMO MSCI EU Hq Hcad Idx
ZFH	BMO Floating Rate High Y
ZFL	BMO Long Fed Bond Index
ZFM	BMO Mid Federal Bond Ind
ZFS	BMO Short Federal Bond I
ZFS.L	BMO Short Federal Bond Index ETF
ZGD	BMO SP TSX Eql Weight Gl
ZGI	BMO Global Infrastructur
ZGQ	BMO MSCI All Cntry Wrld
ZHP	BMO US Pref Share Hgd To CAD Idx ETF
ZHY	BMO High Yld US Corp Bnd
ZIC	BMO Mid Term US Ig Corp
ZIC.U	BMO Mid Term US Ig Corp
ZID	BMO India Equity Index E
ZIN	BMO SP TSX Equal Weight
ZJG	BMO Junior Gold Index Et
ZJN	BMO Junior Gas Index ETF
ZJO	BMO Junior Oil Index ETF
ZLB	BMO Low Volatility CAD E
ZLC	BMO Long Corporate Bond
ZLD	BMO Low Vol Intl Eqty Hed To CAD ETF
ZLE	BMO Low Vol Emerg Mkt Equity ETF
ZLH	BMO Low Vol US Eqty Hed To CAD ETF
ZLI	BMO Low Vol Intl Equity
ZLU	BMO Low Volatility US Eq
ZLU.U	BMO Low Volatility US Eq
ZMI	BMO Monthly Income ETF
ZMP	BMO Mid Provincial Bond
ZMT	BMO Sptsx Eql Wgt Glb Me
ZMU	BMO Mid Term US Ig Corp
ZPH	BMO US Put Write Hedged To CAD ETF
ZPL	BMO Long Provincial Bond
ZPR	BMO SP TSX Laddered Pref
ZPS	BMO Short Provincial Bon
ZPW	BMO US Put Write ETF
ZPW.U	BMO US Put Write ETF USD
ZQQ	BMO Nasdaq 100 Hedged To
ZRE	BMO Equal Weight Reits I
ZRR	BMO Real Return Bond Ind
ZSP	BMO SP 500 Index ETF
ZSP.U	BMO SP 500 Index ETF USD
ZST	BMO Ultra Short Term Bon
ZST.L	BMO Ultra Short Term Bond ETF
ZSU	BMO ST US Ig Corp Bond H
